Astrocytes,Endothelial cells,Excitatory neurons,Inhibitory neurons,Microglia,Oligodendrocytes,Oligodendrocyte precursor cells,Pericytes
GFAP,FLT1,SLC17A6,SLC32A1,IBA-1,OLIG2,VCAN,AMBP
EAAT1,CLDN5,SLC17A7,GAD1,P2RY12,MBP,CSPG4,HIGD1B
AQP4,VTN,NRGN,GAD2,CSF1R,MOBP,PDGFRA,COX4I2
LCN2,ITM2A,CAMK2A,TAC1,CD74,PLP1,SOX10,AOC3
GJA1,VWF,SATB2,PENK,C3,MOG,NEU4,PDE5A
SLC1A2,FAM167B,COL5A1,SST,CST3,CLDN11,PCDH15,PTH1R
FGFR3,BMX,SDK2,NPY,HEXB,MYRF,GPR37L1,P2RY14
NKAIN4,CLEC1B,NEFM,MYBPC1,C1QA,GALC,C1QL1,ABCC9
AGT,CD93,GRIN1,PVALB,CD74,ERMN,CDO1,KCNJ8
PLXNB1,CDH5,GLS,GABBR2,CX3CR1,MAG,EPN2,CD248
SLC1A3,,,,AIF-1,,,
,,,,TMEM119,,,
